RUNTYPE,STARTTIME,ENDTIME,DURATION,SUCCESS,FAILREASON
WARMUP,373588345092182,373588393456632,48364450, 1,N/A
REPETITION,373588393467787,373588415602269,22134482, 1,N/A
REPETITION,373588415606924,373588433349064,17742140, 1,N/A
REPETITION,373588433352200,373588450479737,17127537, 1,N/A
REPETITION,373588450484797,373588463643061,13158264, 1,N/A
REPETITION,373588463655974,373588478242240,14586266, 1,N/A
REPETITION,373588478246308,373588486485598,8239290, 1,N/A
REPETITION,373588486489767,373588493042418,6552651, 1,N/A
REPETITION,373588493046631,373588501601784,8555153, 1,N/A
REPETITION,373588501606413,373588507883129,6276716, 1,N/A
REPETITION,373588507886813,373588520942183,13055370, 1,N/A
REPETITION,373588520946741,373588529294404,8347663, 1,N/A
REPETITION,373588529298803,373588535418607,6119804, 1,N/A
REPETITION,373588535422557,373588539761859,4339302, 1,N/A
REPETITION,373588539765601,373588548110650,8345049, 1,N/A
REPETITION,373588548114950,373588558049330,9934380, 1,N/A
REPETITION,373588558053273,373588565277769,7224496, 1,N/A
REPETITION,373588565285403,373588576229933,10944530, 1,N/A
REPETITION,373588576233902,373588581824539,5590637, 1,N/A
REPETITION,373588581829131,373588586794268,4965137, 1,N/A
REPETITION,373588586798501,373588613060723,26262222, 1,N/A
REPETITION,373588613065227,373588619697247,6632020, 1,N/A
REPETITION,373588619701559,373588627032764,7331205, 1,N/A
REPETITION,373588627037251,373588634539268,7502017, 1,N/A
REPETITION,373588634543324,373588641677530,7134206, 1,N/A
REPETITION,373588641681281,373588653755477,12074196, 1,N/A
REPETITION,373588653770001,373588662630740,8860739, 1,N/A
REPETITION,373588662635359,373588666877469,4242110, 1,N/A
REPETITION,373588666881160,373588670853611,3972451, 1,N/A
REPETITION,373588670857362,373588674771670,3914308, 1,N/A
REPETITION,373588674775844,373588678237491,3461647, 1,N/A
REPETITION,373588678241571,373588682193274,3951703, 1,N/A
REPETITION,373588682197504,373588688469496,6271992, 1,N/A
