RUNTYPE,STARTTIME,ENDTIME,DURATION,SUCCESS,FAILREASON
WARMUP,1906608207542684,1906610736012444,2528469760, 1,N/A
REPETITION,1906610736020196,1906611222146809,486126613, 1,N/A
REPETITION,1906611222150604,1906611431312879,209162275, 1,N/A
REPETITION,1906611431315966,1906611608149402,176833436, 1,N/A
REPETITION,1906611608152385,1906611782088010,173935625, 1,N/A
REPETITION,1906611782091170,1906611943617428,161526258, 1,N/A
REPETITION,1906611943620720,1906612103428164,159807444, 1,N/A
REPETITION,1906612103431127,1906612278010799,174579672, 1,N/A
REPETITION,1906612278013924,1906612434124059,156110135, 1,N/A
REPETITION,1906612434126972,1906612595863772,161736800, 1,N/A
REPETITION,1906612595867004,1906613100313363,504446359, 1,N/A
REPETITION,1906613100316861,1906613558322376,458005515, 1,N/A
REPETITION,1906613558325519,1906613664684487,106358968, 1,N/A
REPETITION,1906613664687172,1906613762878302,98191130, 1,N/A
REPETITION,1906613762881495,1906613881475619,118594124, 1,N/A
REPETITION,1906613881478206,1906613979723369,98245163, 1,N/A
REPETITION,1906613979726182,1906614078028954,98302772, 1,N/A
REPETITION,1906614078031620,1906614182819028,104787408, 1,N/A
REPETITION,1906614182822315,1906614281226362,98404047, 1,N/A
REPETITION,1906614281229093,1906614379742768,98513675, 1,N/A
REPETITION,1906614379745495,1906614502538780,122793285, 1,N/A
REPETITION,1906614502541606,1906614601063326,98521720, 1,N/A
REPETITION,1906614601066136,1906614699899449,98833313, 1,N/A
REPETITION,1906614699902069,1906614803238287,103336218, 1,N/A
REPETITION,1906614803241282,1906614901724421,98483139, 1,N/A
REPETITION,1906614901727066,1906615000242551,98515485, 1,N/A
REPETITION,1906615000245195,1906615098510735,98265540, 1,N/A
REPETITION,1906615098513565,1906615218323493,119809928, 1,N/A
REPETITION,1906615218326908,1906615316725983,98399075, 1,N/A
REPETITION,1906615316728647,1906615414969585,98240938, 1,N/A
REPETITION,1906615414972430,1906615518221613,103249183, 1,N/A
REPETITION,1906615518224755,1906615616553893,98329138, 1,N/A
REPETITION,1906615616556467,1906615715318985,98762518, 1,N/A
REPETITION,1906615715321799,1906615813756623,98434824, 1,N/A
REPETITION,1906615813759538,1906615932872278,119112740, 1,N/A
REPETITION,1906615932875029,1906616031177715,98302686, 1,N/A
REPETITION,1906616031180195,1906616129332868,98152673, 1,N/A
REPETITION,1906616129335494,1906616227607972,98272478, 1,N/A
REPETITION,1906616227610860,1906616331171433,103560573, 1,N/A
REPETITION,1906616331174838,1906616429427612,98252774, 1,N/A
REPETITION,1906616429430542,1906616527587709,98157167, 1,N/A
REPETITION,1906616527590749,1906616625930810,98340061, 1,N/A
REPETITION,1906616625933781,1906616739661707,113727926, 1,N/A
REPETITION,1906616739664396,1906616837935301,98270905, 1,N/A
REPETITION,1906616837938240,1906616936394350,98456110, 1,N/A
REPETITION,1906616936397167,1906617034924798,98527631, 1,N/A
REPETITION,1906617034927597,1906617138229301,103301704, 1,N/A
REPETITION,1906617138232535,1906617237082185,98849650, 1,N/A
REPETITION,1906617237085157,1906617335584914,98499757, 1,N/A
REPETITION,1906617335587441,1906617434209719,98622278, 1,N/A
REPETITION,1906617434212705,1906617537355299,103142594, 1,N/A
REPETITION,1906617537358427,1906617654785773,117427346, 1,N/A
REPETITION,1906617654788728,1906617757598033,102809305, 1,N/A
REPETITION,1906617757601242,1906617855992997,98391755, 1,N/A
REPETITION,1906617855996083,1906617954215204,98219121, 1,N/A
REPETITION,1906617954217899,1906618053856354,99638455, 1,N/A
REPETITION,1906618053859450,1906618152223479,98364029, 1,N/A
REPETITION,1906618152226761,1906618250779829,98553068, 1,N/A
REPETITION,1906618250783149,1906618349267153,98484004, 1,N/A
REPETITION,1906618349269835,1906618447792602,98522767, 1,N/A
REPETITION,1906618447795125,1906618560386609,112591484, 1,N/A
REPETITION,1906618560389639,1906618658819196,98429557, 1,N/A
REPETITION,1906618658822158,1906618757284595,98462437, 1,N/A
REPETITION,1906618757287617,1906618855735638,98448021, 1,N/A
REPETITION,1906618855738965,1906618953936795,98197830, 1,N/A
REPETITION,1906618953939476,1906619057355916,103416440, 1,N/A
