RUNTYPE,STARTTIME,ENDTIME,DURATION,SUCCESS,FAILREASON
WARMUP,186250604601396,186252070245490,1465644094, 1,N/A
REPETITION,186252070253865,186253435864356,1365610491, 1,N/A
REPETITION,186253435868261,186254779308090,1343439829, 1,N/A
REPETITION,186254779311663,186256125139217,1345827554, 1,N/A
REPETITION,186256125143142,186257482099147,1356956005, 1,N/A
REPETITION,186257482102579,186258830321291,1348218712, 1,N/A
REPETITION,186258830325002,186260189079315,1358754313, 1,N/A
REPETITION,186260189083067,186261533129008,1344045941, 1,N/A
REPETITION,186261533132822,186262873528163,1340395341, 1,N/A
REPETITION,186262873531791,186264227821182,1354289391, 1,N/A
REPETITION,186264227825523,186265602004674,1374179151, 1,N/A
REPETITION,186265602007977,186266946842476,1344834499, 1,N/A
REPETITION,186266946846322,186268297935088,1351088766, 1,N/A
REPETITION,186268297938557,186269649180910,1351242353, 1,N/A
REPETITION,186269649184347,186271013603397,1364419050, 1,N/A
REPETITION,186271013606910,186272363192516,1349585606, 1,N/A
REPETITION,186272363196301,186273720471104,1357274803, 1,N/A
REPETITION,186273720475483,186275070948201,1350472718, 1,N/A
REPETITION,186275070952432,186276419337021,1348384589, 1,N/A
REPETITION,186276419341164,186277773800960,1354459796, 1,N/A
REPETITION,186277773804770,186279132324172,1358519402, 1,N/A
REPETITION,186279132327985,186280495018280,1362690295, 1,N/A
REPETITION,186280495021760,186281834652734,1339630974, 1,N/A
REPETITION,186281834656506,186283185197660,1350541154, 1,N/A
REPETITION,186283185201361,186284531486884,1346285523, 1,N/A
REPETITION,186284531490958,186285874118802,1342627844, 1,N/A
REPETITION,186285874122228,186287222703597,1348581369, 1,N/A
REPETITION,186287222707325,186288573668489,1350961164, 1,N/A
REPETITION,186288573672120,186289921916868,1348244748, 1,N/A
REPETITION,186289921920632,186291274428860,1352508228, 1,N/A
REPETITION,186291274432925,186292630457451,1356024526, 1,N/A
REPETITION,186292630461017,186293979071753,1348610736, 1,N/A
REPETITION,186293979075685,186295343491575,1364415890, 1,N/A
REPETITION,186295343494827,186296696753487,1353258660, 1,N/A
REPETITION,186296696757044,186298047188008,1350430964, 1,N/A
REPETITION,186298047191981,186299408981258,1361789277, 1,N/A
REPETITION,186299408984675,186300775659732,1366675057, 1,N/A
REPETITION,186300775663322,186302131318496,1355655174, 1,N/A
REPETITION,186302131322221,186303481269412,1349947191, 1,N/A
REPETITION,186303481273368,186304844292372,1363019004, 1,N/A
REPETITION,186304844296013,186306202408334,1358112321, 1,N/A
REPETITION,186306202411801,186307558339790,1355927989, 1,N/A
REPETITION,186307558343723,186308915942524,1357598801, 1,N/A
REPETITION,186308915946691,186310264009217,1348062526, 1,N/A
REPETITION,186310264012700,186311616655571,1352642871, 1,N/A
REPETITION,186311616659082,186312972670700,1356011618, 1,N/A
REPETITION,186312972674300,186314326392297,1353717997, 1,N/A
REPETITION,186314326395684,186315671306848,1344911164, 1,N/A
REPETITION,186315671310509,186317033775931,1362465422, 1,N/A
REPETITION,186317033779542,186318400026198,1366246656, 1,N/A
REPETITION,186318400030402,186319766054070,1366023668, 1,N/A
REPETITION,186319766057970,186321121026353,1354968383, 1,N/A
REPETITION,186321121029701,186322482387533,1361357832, 1,N/A
REPETITION,186322482391055,186323851051975,1368660920, 1,N/A
REPETITION,186323851055100,186325215370265,1364315165, 1,N/A
REPETITION,186325215374056,186326569538164,1354164108, 1,N/A
REPETITION,186326569541803,186327913896732,1344354929, 1,N/A
