RUNTYPE,STARTTIME,ENDTIME,DURATION,SUCCESS,FAILREASON
WARMUP,432433347237371,432435121991266,1774753895, 1,N/A
REPETITION,432435122003456,432435209297707,87294251, 1,N/A
REPETITION,432435209303293,432435286922506,77619213, 1,N/A
REPETITION,432435286926514,432435340744470,53817956, 1,N/A
REPETITION,432435340749539,432435387864129,47114590, 1,N/A
REPETITION,432435387868706,432435432347770,44479064, 1,N/A
REPETITION,432435432352664,432435478766090,46413426, 1,N/A
REPETITION,432435478770151,432435525062090,46291939, 1,N/A
REPETITION,432435525066082,432435551025664,25959582, 1,N/A
REPETITION,432435551032989,432435576874262,25841273, 1,N/A
REPETITION,432435576878032,432435633647660,56769628, 1,N/A
REPETITION,432435633652118,432435731556498,97904380, 1,N/A
REPETITION,432435731560779,432435816812670,85251891, 1,N/A
REPETITION,432435816817366,432435867978719,51161353, 1,N/A
REPETITION,432435867984380,432435936566779,68582399, 1,N/A
REPETITION,432435936572369,432435989961218,53388849, 1,N/A
REPETITION,432435989966157,432436030318748,40352591, 1,N/A
REPETITION,432436030323552,432436069606476,39282924, 1,N/A
REPETITION,432436069611428,432436107791091,38179663, 1,N/A
REPETITION,432436107796068,432436146493996,38697928, 1,N/A
REPETITION,432436146499757,432436189358607,42858850, 1,N/A
REPETITION,432436189363267,432436228776543,39413276, 1,N/A
REPETITION,432436228781426,432436265707579,36926153, 1,N/A
REPETITION,432436265711137,432436306209507,40498370, 1,N/A
REPETITION,432436306214541,432436353477870,47263329, 1,N/A
REPETITION,432436353482722,432436392600909,39118187, 1,N/A
REPETITION,432436392605819,432436425171599,32565780, 1,N/A
REPETITION,432436425175157,432436471971431,46796274, 1,N/A
REPETITION,432436471976349,432436507831981,35855632, 1,N/A
REPETITION,432436507836696,432436542464493,34627797, 1,N/A
REPETITION,432436542469521,432436579504281,37034760, 1,N/A
REPETITION,432436579507777,432436617379172,37871395, 1,N/A
REPETITION,432436617384517,432436651712236,34327719, 1,N/A
REPETITION,432436651716242,432436690043241,38326999, 1,N/A
REPETITION,432436690048198,432436728921120,38872922, 1,N/A
REPETITION,432436728926286,432436766083179,37156893, 1,N/A
REPETITION,432436766086596,432436805342338,39255742, 1,N/A
REPETITION,432436805347673,432436846155911,40808238, 1,N/A
REPETITION,432436846160527,432436881572171,35411644, 1,N/A
